Player,Club,Age,Position,Minutes,Goals,xG,xGDiff,Assists,xA,xADiff,Dribbles,DribblesCompleted,PlayersDribbledPast,Nutmegs,Interceptions,TacklesWon,DribbledPast
Karim Benzema,Real Madrid,31,FW,463,4,4.6,-0.6,2,3.1,-1.1,19,11,13,0,2,2,5
Leo Dubois,Lyon,24,DF,450,0,0.1,-0.1,2,0.8,1.2,18,11,13,0,6,7,3
Rodrygo,Real Madrid,18,FW,270,4,1.5,2.5,2,0.9,1.1,17,11,13,0,3,2,3
Júnior Moraes,Shakhtar Donetsk,32,FW,527,2,2.4,-0.4,1,0.6,0.4,24,11,12,1,2,2,9
Kylian Mbappé,Paris Saint-Germain,20,FW,330,5,4.8,0.2,3,1.8,1.2,25,11,12,0,1,1,3
Hwang Hee-chan,Salzburg,23,FW,540,3,2.2,0.8,3,2.7,0.3,20,11,11,1,1,2,2
Jean Seri,Galatasaray,28,MF,478,0,0.1,-0.1,0,0.4,-0.4,11,11,11,0,2,5,8
Lisandro Martínez,Ajax,21,DF,538,0,0.2,-0.2,0,0.1,-0.1,13,11,11,0,8,8,12
Mohamed Camara,Olympiacos,22,DF,418,0,0.2,-0.2,0,0.2,-0.2,12,11,11,0,5,5,8
Rodri,Manchester City,23,MF,363,0,0.3,-0.3,0,0,0,11,11,11,0,8,13,11
Junya Ito,Genk,26,FW,441,0,0.3,-0.3,0,0.2,-0.2,21,10,13,0,4,6,11
Adrien Rabiot,Juventus,24,MF,200,0,0,0,0,0.4,-0.4,13,10,11,0,0,5,5
Harry Kane,Tottenham,26,FW,450,6,4.6,1.4,0,0.7,-0.7,17,10,11,0,0,1,2
Josip Iličić,Atalanta,31,MF,336,0,1,-1,0,0.9,-0.9,18,10,11,0,0,0,1
Lukáš Masopust,Slavia Prague,26,MF,475,0,1.2,-1.2,1,0.5,0.5,16,10,11,1,4,7,12
Neymar,Paris Saint-Germain,27,"FW,MF",135,1,0.7,0.3,2,0.9,1.1,17,10,11,0,1,2,0
Peter Olayinka,Slavia Prague,23,FW,535,1,0.7,0.3,0,0.4,-0.4,26,10,11,0,6,12,6
Theo Bongonda,Genk,23,FW,257,0,0.7,-0.7,1,0.3,0.7,15,10,11,0,0,2,3
Kevin De Bruyne,Manchester City,28,MF,304,0,0.4,-0.4,1,1.2,-0.2,14,10,10,1,4,4,4
Lorenzo Insigne,Napoli,28,FW,181,1,1.2,-0.2,1,0.5,0.5,14,10,10,0,2,0,5
Mariano,Galatasaray,33,DF,540,0,0,0,0,0.2,-0.2,16,10,10,0,11,7,8
Marlos,Shakhtar Donetsk,31,MF,369,0,0.1,-0.1,1,0.3,0.7,16,10,10,1,2,4,2
Thiago Alcántara,Bayern Munich,28,MF,405,0,1.4,-1.4,2,1.1,0.9,12,10,10,0,13,15,7
Bertrand Traoré,Lyon,23,MF,229,1,0.2,0.8,0,0.1,-0.1,18,9,13,0,1,0,2
Georginio Wijnaldum,Liverpool,28,MF,355,1,0.7,0.3,0,0.2,-0.2,14,9,12,1,2,3,1
Phil Foden,Manchester City,19,MF,185,2,0.8,1.2,2,1.7,0.3,11,9,11,0,1,6,0
Aleksei Miranchuk,Lokomotiv Moscow,23,MF,360,2,1.8,0.2,0,0.9,-0.9,15,9,10,0,4,3,9
Alex Oxlade-Chamberlain,Liverpool,25,MF,182,3,0.5,2.5,0,0.2,-0.2,15,9,10,0,0,2,6
Douglas Santos,Zenit St. Petersburg,25,DF,505,0,0.1,-0.1,1,0.2,0.8,16,9,10,0,10,9,16
Dušan Tadić,Ajax,30,MF,540,0,0.7,-0.7,3,1.1,1.9,14,9,10,0,7,4,4
João Cancelo,Manchester City,25,DF,388,0,0.1,-0.1,0,0.2,-0.2,14,9,10,1,8,9,6
Paul Onuachu,Genk,25,FW,212,0,1.6,-1.6,0,0.6,-0.6,11,9,10,0,0,5,0
Sander Berge,Genk,21,MF,540,0,0.2,-0.2,0,0.2,-0.2,12,9,10,0,7,7,9
Álex Grimaldo,Benfica,23,DF,540,0,0.3,-0.3,0,0.8,-0.8,15,9,9,1,8,5,8
Arijan Ademi,Dinamo Zagreb,28,MF,518,1,0.6,0.4,1,1.1,-0.1,9,9,9,0,2,4,10
Dodô,Shakhtar Donetsk,20,DF,280,1,0.4,0.6,1,0.7,0.3,9,9,9,0,3,2,5
Emil Forsberg,RasenBallsport Leipzig,27,MF,466,3,3,0,1,1.4,-0.4,15,9,9,0,0,5,3
Ferrán Torres,Valencia,19,MF,300,1,0.4,0.6,1,0.9,0.1,15,9,9,0,4,5,5
Juan Cuadrado,Juventus,31,"DF,MF",360,1,0.1,0.9,1,1,0,12,9,9,0,9,3,8
Kai Havertz,Bayer Leverkusen,20,MF,434,0,0.9,-0.9,0,0.4,-0.4,14,9,9,0,1,2,6
Kerem Demirbay,Bayer Leverkusen,26,MF,375,0,0.4,-0.4,0,0.4,-0.4,12,9,9,0,1,10,6
Lautaro Martínez,Inter,21,FW,522,5,3.4,1.6,1,1.4,-0.4,14,9,9,0,2,2,11
Marcelo Brozović,Inter,26,MF,521,0,0.3,-0.3,1,0.5,0.5,11,9,9,0,11,10,13
Marco Verratti,Paris Saint-Germain,26,MF,465,0,0,0,0,1.5,-1.5,11,9,9,0,3,16,14
Moussa Diaby,Bayer Leverkusen,20,MF,180,0,0.2,-0.2,0,0.1,-0.1,15,9,9,0,0,0,2
Moussa Sissoko,Tottenham,29,MF,417,0,0.2,-0.2,1,0.2,0.8,15,9,9,0,4,7,3
Ryan Babel,Galatasaray,32,"FW,MF",334,0,0.6,-0.6,0,0.3,-0.3,11,9,9,0,0,1,3
Thiago Mendes,Lyon,27,MF,394,0,0.1,-0.1,0,0.1,-0.1,9,9,9,0,12,6,6
Moussa Dembélé,Lyon,23,FW,461,0,0.6,-0.6,1,0.7,0.3,15,8,11,0,3,5,3
