Player,Club,Age,Position,Minutes,Goals,xG,xGDiff,Assists,xA,xADiff,Dribbles,DribblesCompleted,PlayersDribbledPast,Nutmegs,Interceptions,TacklesWon,DribbledPast
Diego Godín,Inter,33,DF,450,0,0.1,-0.1,0,0,0,5,4,4,0,14,7,8
Dmitri Barinov,Lokomotiv Moscow,22,MF,450,1,0.4,0.6,0,0.1,-0.1,4,4,4,0,6,5,14
Domagoj Bradarić,Lille,19,DF,270,0,0,0,0,0.1,-0.1,9,4,4,0,2,2,5
Francisco Reis Ferreira,Benfica,22,DF,376,0,0,0,0,0.1,-0.1,4,4,4,0,6,6,11
Haris Seferović,Benfica,27,FW,208,2,1.3,0.7,0,0.1,-0.1,6,4,4,0,0,0,1
Ianis Hagi,Genk,20,MF,140,0,0.4,-0.4,0,0.5,-0.5,7,4,4,2,1,2,7
Idrissa Gana Gueye,Paris Saint-Germain,29,MF,315,0,0.1,-0.1,1,0.2,0.8,5,4,4,0,8,3,7
James Milner,Liverpool,33,MF,367,0,0.2,-0.2,1,0.4,0.6,6,4,4,0,3,3,5
Jaroslav Zelený,Slavia Prague,26,DF,109,0,0.4,-0.4,1,0.2,0.8,7,4,4,1,1,1,2
Kyle Walker-Peters,Tottenham,22,DF,90,0,0,0,0,0,0,7,4,4,0,0,0,2
Lukas Klostermann,RasenBallsport Leipzig,23,DF,457,0,0.3,-0.3,1,0.6,0.4,4,4,4,0,6,3,6
Magomed Ozdoyev,Zenit St. Petersburg,26,MF,463,1,0.3,0.7,2,0.1,1.9,6,4,4,0,15,11,13
Marcelo,Real Madrid,31,"DF,MF",267,0,0.2,-0.2,3,1.4,1.6,7,4,4,0,4,1,4
Mattia De Sciglio,Juventus,26,DF,180,0,0,0,0,0,0,5,4,4,0,1,2,2
Noa Lang,Ajax,20,MF,128,0,0.2,-0.2,0,0.1,-0.1,4,4,4,1,3,4,3
Pablo Sarabia,Paris Saint-Germain,27,MF,265,2,0.7,1.3,1,1.6,-0.6,8,4,4,0,1,4,15
Percy Tau,Club Brugge,25,FW,239,0,0.7,-0.7,1,0.6,0.4,4,4,4,0,2,2,3
Pizzi,Benfica,29,"FW,MF",403,3,1.2,1.8,2,1.9,0.1,8,4,4,0,2,3,8
Rasmus Nissen,Salzburg,22,DF,534,0,0,0,0,0.1,-0.1,11,4,4,1,7,11,15
Sardar Azmoun,Zenit St. Petersburg,24,"FW,MF",466,2,3.1,-1.1,0,0.1,-0.1,8,4,4,1,3,1,8
Sebastián Driussi,Zenit St. Petersburg,23,FW,363,0,0.5,-0.5,0,0.3,-0.3,7,4,4,0,3,10,9
Simon Deli,Club Brugge,27,DF,540,0,0.2,-0.2,0,0.1,-0.1,4,4,4,0,12,5,4
Tomáš Souček,Slavia Prague,24,MF,540,2,1.8,0.2,0,0.2,-0.2,8,4,4,0,14,12,13
Dominik Szoboszlai,Salzburg,18,MF,393,1,0.8,0.2,0,0.6,-0.6,9,3,4,0,2,4,11
Federico Bernardeschi,Juventus,25,FW,180,1,0.4,0.6,0,0.2,-0.2,6,3,4,0,0,1,1
Kenny Tete,Lyon,23,DF,90,0,0,0,0,0.2,-0.2,7,3,4,0,1,1,1
Kyle Walker,Manchester City,29,DF,173,0,0,0,0,0,0,5,3,4,0,4,3,1
Luka Ivanušec,Dinamo Zagreb,20,MF,99,1,0.3,0.7,0,0,0,5,3,4,1,2,2,3
Oleg Shatov,Zenit St. Petersburg,29,MF,235,0,0.2,-0.2,0,0.1,-0.1,7,3,4,0,3,3,5
Renan Lodi,Atletico Madrid,21,DF,462,0,0.2,-0.2,1,0.3,0.7,9,3,4,2,12,13,6
Robin Gosens,Atalanta,25,"DF,MF",393,1,0.8,0.2,0,0.3,-0.3,7,3,4,0,5,10,10
Álvaro Odriozola,Real Madrid,23,DF,90,0,0,0,1,0,1,3,3,3,0,0,0,0
Amer Gojak,Dinamo Zagreb,22,MF,171,0,0,0,0,0,0,3,3,3,0,0,8,5
Benjamin Mendy,Manchester City,25,DF,348,0,0,0,1,1,0,4,3,3,1,5,6,3
Clinton Mata,Club Brugge,26,MF,359,0,0,0,1,0,1,3,3,3,0,9,13,4
Daley Blind,Ajax,29,"DF,MF",427,0,0.1,-0.1,0,0.1,-0.1,3,3,3,0,5,5,4
David Hovorka,Slavia Prague,25,DF,270,0,0.1,-0.1,0,0,0,5,3,3,0,5,3,3
David Silva,Manchester City,33,MF,110,0,0.5,-0.5,0,0.2,-0.2,3,3,3,0,3,0,0
Donny van de Beek,Ajax,22,MF,448,2,1,1,1,1,0,5,3,3,0,10,8,15
Dries Mertens,Napoli,32,"FW,MF",442,4,1.8,2.2,1,0.5,0.5,4,3,3,0,2,8,8
Elif Elmas,Napoli,19,MF,92,0,0,0,0,0,0,6,3,3,0,1,0,1
Érik Lamela,Tottenham,27,"FW,MF",113,1,1.5,-0.5,2,0.2,1.8,4,3,3,0,0,3,1
Fabinho,Liverpool,25,DF,379,0,0.1,-0.1,1,0.4,0.6,4,3,3,0,6,13,11
Federico Valverde,Real Madrid,21,MF,251,0,0.1,-0.1,0,0.6,-0.6,5,3,3,0,6,5,8
Fernando Marçal,Lyon,30,DF,165,0,0.2,-0.2,0,0.1,-0.1,4,3,3,0,5,1,1
Fikayo Tomori,Chelsea,21,DF,360,0,0.4,-0.4,1,0.4,0.6,3,3,3,0,6,9,3
Gedson Fernandes,Benfica,20,MF,135,0,0.2,-0.2,0,0,0,4,3,3,0,1,3,4
Hans Hateboer,Atalanta,25,DF,320,0,0.7,-0.7,1,0.5,0.5,6,3,3,0,2,3,4
Héctor Herrera,Atletico Madrid,29,MF,206,1,0.2,0.8,0,0.4,-0.4,7,3,3,0,2,3,5
Ivan Rakitić,Barcelona,31,MF,199,0,0.5,-0.5,0,0,0,4,3,3,0,7,1,4
Joe Gomez,Liverpool,22,DF,301,0,0,0,0,0,0,3,3,3,0,12,9,1
Julian Draxler,Paris Saint-Germain,25,"FW,MF",22,0,0.1,-0.1,0,0,0,3,3,3,0,0,0,0
Kalidou Koulibaly,Napoli,28,DF,540,0,0.3,-0.3,0,0,0,4,3,3,0,9,8,11
Koke,Atletico Madrid,27,MF,500,0,0,0,1,1.2,-0.2,4,3,3,0,4,8,11
Kurt Zouma,Chelsea,24,DF,523,0,0.2,-0.2,1,0.7,0.3,5,3,3,0,6,5,0
Leon Goretzka,Bayern Munich,24,MF,175,1,0.5,0.5,0,0.4,-0.4,4,3,3,0,7,2,2
Lucas Hernández,Bayern Munich,23,DF,149,0,0,0,0,0,0,3,3,3,0,2,2,1
Lucas Vázquez,Real Madrid,28,"FW,MF",87,0,0.1,-0.1,0,0.2,-0.2,8,3,3,0,0,0,3
Luka Jović,Real Madrid,21,FW,105,0,0.4,-0.4,0,0.2,-0.2,3,3,3,0,0,2,1
Luka Modrić,Real Madrid,33,MF,224,1,0.3,0.7,0,0.2,-0.2,6,3,3,0,3,4,4
Manuel Akanji,Borussia Dortmund,24,MF,524,0,0.1,-0.1,0,0,0,4,3,3,0,9,2,5
Marcão,Galatasaray,23,DF,540,0,0,0,0,0,0,3,3,3,0,10,8,3
Matheus Cunha,RasenBallsport Leipzig,20,,80,0,1.5,-1.5,0,0,0,4,3,3,0,3,1,3
Matías Vecino,Inter,27,"FW,MF",238,1,0.3,0.7,0,0.6,-0.6,3,3,3,0,6,7,2
Miguel Ángel Guerrero,Olympiacos,29,FW,314,0,0.4,-0.4,0,0.5,-0.5,4,3,3,0,0,1,4
Noussair Mazraoui,Ajax,21,DF,225,0,0.1,-0.1,0,0,0,7,3,3,0,5,9,1
Odilon Kossonou,Club Brugge,18,DF,180,0,0,0,0,0.2,-0.2,5,3,3,0,1,1,2
Radamel Falcao,Galatasaray,33,FW,208,0,0.2,-0.2,0,0.1,-0.1,4,3,3,1,0,3,2
Rafa Silva,Benfica,26,MF,124,1,0.2,0.8,1,0.5,0.5,9,3,3,1,1,0,1
Remo Freuler,Atalanta,27,MF,399,0,0.3,-0.3,0,0.1,-0.1,4,3,3,0,4,5,9
Rúben Dias,Benfica,22,DF,540,0,0,0,0,0,0,3,3,3,0,6,7,1
Ryan Donk,Galatasaray,33,DF,360,0,0,0,0,0.1,-0.1,3,3,3,0,6,5,4
Sergiño Dest,Ajax,18,DF,405,0,0.1,-0.1,0,0.2,-0.2,8,3,3,0,3,7,7
Stefan de Vrij,Inter,27,DF,540,0,0.3,-0.3,1,0.3,0.7,3,3,3,0,16,7,5
Tetê,Shakhtar Donetsk,19,MF,155,1,1,0,0,0.5,-0.5,6,3,3,1,1,0,2
Timothy Castagne,Atalanta,23,DF,385,1,1.2,-0.2,0,0.6,-0.6,4,3,3,0,1,2,7
Trent Alexander-Arnold,Liverpool,20,"DF,MF",372,0,0.2,-0.2,1,1,0,7,3,3,1,6,4,3
Vyacheslav Karavayev,Zenit St. Petersburg,24,DF,415,0,0.1,-0.1,0,0,0,3,3,3,0,4,3,8
Antoine Griezmann,Barcelona,28,"FW,MF",441,1,1.1,-0.1,0,0.2,-0.2,6,2,5,1,4,5,5
Jhon Lucumí,Genk,21,DF,540,1,0.2,0.8,0,0.1,-0.1,4,2,3,1,16,7,7
Marcel Halstenberg,RasenBallsport Leipzig,27,DF,218,0,0,0,0,0.2,-0.2,4,2,3,0,3,0,4
Piotr Zieliński,Napoli,25,MF,361,0,0.2,-0.2,0,0.3,-0.3,10,2,3,0,5,3,2
Victor Osimhen,Lille,20,FW,450,2,2.3,-0.3,0,1.1,-1.1,7,2,3,1,2,1,1
Yordan Osorio,Zenit St. Petersburg,25,DF,322,0,0.3,-0.3,0,0,0,3,2,3,0,8,7,2
Zlatko Junuzović,Salzburg,31,"FW,MF",506,0,0.1,-0.1,3,1.4,1.6,3,2,3,0,11,6,18
Aleksa Vukanović,FK Crvena Zvezda,27,FW,170,0,0.2,-0.2,0,0,0,4,2,2,0,4,1,6
Aleksandr Erokhin,Zenit St. Petersburg,29,MF,166,0,0,0,0,0,0,3,2,2,0,1,0,3
Andrea Masiello,Atalanta,33,DF,219,0,0,0,0,0,0,2,2,2,0,8,3,5
Andreas Bouchalakis,Olympiacos,26,MF,484,0,0.4,-0.4,0,0.2,-0.2,3,2,2,0,10,7,6
Anton Miranchuk,Lokomotiv Moscow,23,MF,90,0,0.6,-0.6,0,0.1,-0.1,5,2,2,1,0,3,1
Benjamin André,Lille,28,"DF,MF",406,0,0.5,-0.5,2,1,1,4,2,2,0,12,14,15
Berat Djimsiti,Atalanta,26,"DF,MF",360,0,0.3,-0.3,0,0,0,2,2,2,0,6,4,5
Blaise Matuidi,Juventus,32,MF,340,1,0.7,0.3,0,0.1,-0.1,4,2,2,1,8,3,6
Carlos,Benfica,24,MF,322,1,0.9,0.1,0,0.1,-0.1,3,2,2,0,0,2,4
Carlos Cuesta,Genk,20,DF,360,0,0,0,0,0.3,-0.3,2,2,2,0,7,3,5
César Azpilicueta,Chelsea,29,DF,540,2,1.2,0.8,0,0.6,-0.6,4,2,2,0,11,9,3
Chiquinho,Benfica,24,MF,270,0,0.5,-0.5,0,0.1,-0.1,7,2,2,0,3,4,2
Dani Carvajal,Real Madrid,27,DF,450,0,0.2,-0.2,1,1.4,-0.4,5,2,2,0,6,10,12
Daniel Wass,Valencia,30,"DF,MF",540,1,0.2,0.8,0,0.3,-0.3,3,2,2,1,12,7,4
Danilo D'Ambrosio,Inter,30,DF,184,0,0.6,-0.6,0,0,0,3,2,2,2,4,6,5
David Neres,Ajax,22,FW,180,0,0.1,-0.1,1,0.1,0.9,7,2,2,0,2,3,1
Dušan Jovančić,FK Crvena Zvezda,28,MF,179,0,0.1,-0.1,0,0.1,-0.1,4,2,2,0,4,6,4
Éder Álvarez Balanta,Club Brugge,26,DF,284,0,0.1,-0.1,0,0.3,-0.3,3,2,2,0,6,9,11
Éder Militão,Real Madrid,21,"DF,MF",180,0,0.1,-0.1,0,0,0,2,2,2,0,2,2,0
Eric Maxim Choupo-Moting,Paris Saint-Germain,30,FW,101,0,0.1,-0.1,0,0.7,-0.7,5,2,2,0,1,2,3
Fernandinho,Manchester City,34,MF,450,0,0.1,-0.1,0,0,0,2,2,2,0,9,8,2
Gareth Bale,Real Madrid,30,"FW,MF",100,0,0.3,-0.3,0,0,0,3,2,2,0,4,0,4
Gonçalo Guedes,Valencia,22,FW,90,0,0.1,-0.1,0,0,0,3,2,2,0,0,0,0
Jander Ribeiro Santana,FK Crvena Zvezda,31,MF,143,0,0.1,-0.1,0,0,0,3,2,2,0,5,2,3
Jean-Clair Todibo,Barcelona,19,MF,90,0,0,0,0,0,0,2,2,2,0,1,6,0
Jere Uronen,Genk,25,DF,270,0,0.1,-0.1,0,0.1,-0.1,3,2,2,0,4,7,1
Josef Hušbauer,Slavia Prague,29,MF,207,0,0.3,-0.3,0,0.2,-0.2,3,2,2,0,3,4,3
Kévin Gameiro,Valencia,32,FW,212,0,0.3,-0.3,1,0.5,0.5,2,2,2,0,0,0,3
Lazar Ranđelović,Olympiacos,21,MF,86,0,0,0,0,0,0,5,2,2,0,0,2,4
Leonardo Bonucci,Juventus,32,DF,450,0,0.2,-0.2,0,0.1,-0.1,2,2,2,0,3,2,2
Loïc Rémy,Lille,32,FW,207,1,1,0,0,0,0,5,2,2,0,0,1,2
Lucas Alario,Bayer Leverkusen,26,FW,214,0,0.5,-0.5,0,0.1,-0.1,3,2,2,0,3,1,1
Lucas Tousart,Lyon,22,MF,514,0,0.3,-0.3,1,0,1,3,2,2,0,5,13,14
Maciej Rybus,Lokomotiv Moscow,29,MF,450,0,0,0,0,0.3,-0.3,5,2,2,0,14,3,6
Manu Vallejo,Valencia,22,,72,0,0.1,-0.1,0,0,0,2,2,2,0,0,1,0
Marcelo Saracchi,RasenBallsport Leipzig,21,DF,160,0,0,0,0,0.3,-0.3,4,2,2,0,2,2,2
Mario Gavranović,Dinamo Zagreb,29,FW,83,0,0.3,-0.3,0,0.1,-0.1,3,2,2,0,0,0,2
Mario Hermoso,Atletico Madrid,24,DF,351,0,0,0,0,0,0,3,2,2,0,9,1,4
Matteo Politano,Inter,25,FW,61,0,0.2,-0.2,0,0.2,-0.2,5,2,2,0,1,1,0
Maximilian Wöber,Salzburg,21,DF,540,0,0.2,-0.2,0,0.1,-0.1,2,2,2,0,18,9,4
Milan Rodić,FK Crvena Zvezda,28,DF,442,0,0,0,0,0.1,-0.1,5,2,2,0,5,5,11
Milan Škoda,Slavia Prague,33,"FW,MF",72,0,0.2,-0.2,1,0.4,0.6,2,2,2,0,0,1,0
Miloš Degenek,FK Crvena Zvezda,25,DF,540,0,0.1,-0.1,0,0,0,2,2,2,0,13,5,6
Moussa Wagué,Barcelona,20,DF,90,0,0.1,-0.1,0,0,0,3,2,2,0,1,4,1
Nicolás Tagliafico,Ajax,26,DF,539,1,0.2,0.8,1,0.4,0.6,2,2,2,0,17,12,10
Nikola Maksimović,Napoli,27,DF,180,0,0.1,-0.1,0,0,0,2,2,2,1,5,2,2
Omar Elabdellaoui,Olympiacos,27,"DF,MF",461,0,0.1,-0.1,0,0.3,-0.3,2,2,2,0,5,6,2
Panagiotis Retsos,Bayer Leverkusen,20,DF,99,0,0,0,0,0,0,3,2,2,0,2,5,4
Paulinho,Bayer Leverkusen,19,FW,36,0,0.4,-0.4,0,0,0,3,2,2,0,0,0,1
Perr Schuurs,Ajax,19,DF,108,0,0,0,0,0,0,2,2,2,0,2,1,1
Petr Ševčík,Slavia Prague,25,MF,450,0,0.2,-0.2,0,0.5,-0.5,5,2,2,0,4,4,12
Rúben Semedo,Olympiacos,25,"DF,MF",540,2,1.1,0.9,0,0,0,2,2,2,1,4,6,1
Samir Handanović,Inter,35,GK,540,0,0,0,0,0,0,2,2,2,0,0,0,0
Sébastien Dewaest,Genk,28,DF,360,0,0.2,-0.2,0,0,0,2,2,2,0,3,2,3
Sergio Ramos,Real Madrid,33,DF,360,2,1.7,0.3,0,0,0,2,2,2,0,7,2,2
Serhiy Bolbat,Shakhtar Donetsk,26,MF,246,0,0,0,0,0,0,6,2,2,0,4,5,5
Sofiane Feghouli,Galatasaray,29,MF,343,0,0.2,-0.2,0,0.1,-0.1,5,2,2,0,3,1,5
Taras Stepanenko,Shakhtar Donetsk,29,MF,540,0,0.2,-0.2,0,0,0,3,2,2,0,9,9,14
Viktor Kovalenko,Shakhtar Donetsk,23,MF,338,0,0.2,-0.2,1,0.4,0.6,3,2,2,0,2,3,4
Yassine Meriah,Olympiacos,26,MF,540,0,0.4,-0.4,0,0,0,2,2,2,0,9,2,1
Benjamin Pavard,Bayern Munich,23,DF,540,0,0.5,-0.5,2,0.7,1.3,2,1,2,0,11,7,3
Daniil Kulikov,Lokomotiv Moscow,21,MF,25,0,0,0,0,0,0,2,1,2,0,1,0,1
Danilo,Juventus,28,"DF,MF",360,0,0,0,0,0,0,2,1,2,0,8,4,4
Emerson Palmieri,Chelsea,24,DF,108,0,0.1,-0.1,1,0.2,0.8,4,1,2,0,1,2,1
Franco Cervi,Benfica,25,MF,398,1,1.4,-0.4,1,0.3,0.7,3,1,2,0,3,6,8
Gerard Piqué,Barcelona,32,DF,360,0,0.3,-0.3,0,0.3,-0.3,2,1,2,0,6,5,2
José Cañas,FK Crvena Zvezda,32,MF,314,0,0,0,0,0,0,3,1,2,0,4,4,13
Julian Baumgartlinger,Bayer Leverkusen,31,"DF,MF",345,0,0.1,-0.1,0,0,0,2,1,2,0,3,9,8
Layvin Kurzawa,Paris Saint-Germain,26,DF,90,0,0.1,-0.1,0,0,0,2,1,2,0,2,2,1
Marko Gobeljić,FK Crvena Zvezda,26,MF,495,0,0.1,-0.1,0,0.3,-0.3,2,1,2,0,7,9,7
Mathieu Valbuena,Olympiacos,34,MF,104,1,0.8,0.2,1,0.3,0.7,2,1,2,0,1,0,3
Merih Demiral,Juventus,21,DF,90,0,0,0,0,0,0,2,1,2,0,1,4,0
Michy Batshuayi,Chelsea,25,FW,85,1,1.6,-0.6,0,0.1,-0.1,4,1,2,0,0,0,0
Miralem Pjanić,Juventus,29,MF,537,0,0.3,-0.3,0,0.7,-0.7,3,1,2,0,15,13,10
Mirko Ivanić,FK Crvena Zvezda,25,MF,104,0,0.1,-0.1,0,0,0,3,1,2,0,2,1,7
Njegoš Petrović,FK Crvena Zvezda,20,MF,301,0,0,0,0,0,0,3,1,2,0,4,5,8
Roberto Gagliardini,Inter,25,MF,218,0,0,0,0,0,0,2,1,2,0,2,6,3
Santiago Arias,Atletico Madrid,27,DF,180,0,0,0,0,0.2,-0.2,3,1,2,0,3,3,0
Sergio Busquets,Barcelona,31,MF,349,0,0,0,0,0,0,2,1,2,0,8,7,7
Stanislav Tecl,Slavia Prague,28,FW,137,0,0.3,-0.3,0,0.1,-0.1,4,1,2,0,0,1,2
Vladimír Coufal,Slavia Prague,26,DF,540,0,0,0,0,0.2,-0.2,3,1,2,0,6,8,6
Aaron Ramsey,Juventus,28,MF,142,1,0.9,0.1,0,0.1,-0.1,2,1,1,0,0,0,3
Adem Büyük,Galatasaray,31,FW,92,1,0.4,0.6,0,0,0,1,1,1,0,0,0,2
Aleksandr Kolomeytsev,Lokomotiv Moscow,30,MF,19,0,0,0,0,0,0,1,1,1,0,0,0,1
Alexis Sánchez,Inter,30,"FW,MF",66,0,0.3,-0.3,1,0.4,0.6,2,1,1,0,2,1,1
Andriy Pyatov,Shakhtar Donetsk,35,GK,540,0,0,0,0,0,0,1,1,1,0,0,0,0
Ansu Fati,Barcelona,16,FW,89,1,0.1,0.9,0,0.6,-0.6,4,1,1,0,0,0,3
Arkadiusz Milik,Napoli,25,FW,167,3,3.2,-0.2,0,0,0,1,1,1,0,0,1,1
Arturo Vidal,Barcelona,32,MF,241,0,0.2,-0.2,1,0.4,0.6,2,1,1,1,0,7,2
Ben Davies,Tottenham,26,DF,180,0,0,0,1,0.3,0.7,1,1,1,0,2,0,2
Borja Valero,Inter,34,MF,153,0,0.1,-0.1,0,0.6,-0.6,2,1,1,0,2,2,3
Caio Lucas Fernandes,Benfica,25,MF,31,0,0.1,-0.1,0,0,0,6,1,1,0,0,1,0
Carles Aleñá,Barcelona,21,MF,90,0,0,0,0,0.2,-0.2,1,1,1,0,1,3,2
Carles Pérez,Barcelona,21,,85,1,0.4,0.6,0,0,0,2,1,1,0,0,1,0
Christian Eriksen,Tottenham,27,"DF,MF",295,1,0.7,0.3,1,1.6,-0.6,4,1,1,0,0,3,7
Clément Lenglet,Barcelona,24,DF,540,0,0.2,-0.2,0,0,0,2,1,1,0,8,2,6
Daley Sinkgraven,Bayer Leverkusen,24,MF,100,0,0,0,0,0,0,1,1,1,0,1,3,0
David Okereke,Club Brugge,21,,173,0,1.3,-1.3,0,0,0,6,1,1,0,0,0,2
Davinson Sánchez,Tottenham,23,DF,360,0,0.3,-0.3,0,0.1,-0.1,3,1,1,0,4,6,3
Denis Cheryshev,Valencia,28,"FW,MF",221,1,0.4,0.6,0,0,0,2,1,1,0,1,0,7
Diego Costa,Atletico Madrid,30,FW,318,0,1,-1,1,1,0,2,1,1,0,0,2,1
Diego Demme,RasenBallsport Leipzig,27,"DF,MF",364,1,0.4,0.6,0,0,0,3,1,1,0,5,10,7
Dino Perić,Dinamo Zagreb,25,DF,450,0,0,0,0,0,0,1,1,1,0,9,10,3
Duván Zapata,Atalanta,28,FW,180,1,1.6,-0.6,0,0.2,-0.2,4,1,1,0,0,0,1
Eric Dier,Tottenham,25,"DF,MF",222,0,0.4,-0.4,0,0,0,2,1,1,0,2,1,5
Fernando Llorente,Napoli,34,FW,86,1,0.6,0.4,0,0.1,-0.1,1,1,1,0,1,1,1
Fernando Muslera,Galatasaray,33,GK,540,0,0,0,0,0,0,1,1,1,0,1,0,1
Florin Andone,Galatasaray,26,FW,161,0,0.6,-0.6,0,0,0,2,1,1,1,0,0,1
Gabriel Dos Santos,Lille,21,DF,540,0,0.1,-0.1,0,0,0,2,1,1,0,14,9,4
Gabriel Paulista,Valencia,28,DF,539,0,0.2,-0.2,0,0,0,1,1,1,0,12,5,4
Geoffrey Kondogbia,Valencia,26,MF,225,1,0,1,0,0,0,2,1,1,0,9,4,2
Gianluca Gaetano,Napoli,19,MF,18,0,0,0,0,0,0,2,1,1,1,0,0,0
Giovani Lo Celso,Tottenham,23,MF,162,1,0.5,0.5,0,0.4,-0.4,3,1,1,0,2,3,6
Ivan Perišić,Bayern Munich,30,MF,207,1,1,0,3,2,1,7,1,1,0,3,1,4
James Rodríguez,Real Madrid,28,"FW,MF",81,0,0.1,-0.1,0,0,0,2,1,1,0,0,0,4
Jérémy Pied,Lille,30,"FW,MF",90,0,0,0,0,0,0,1,1,1,0,2,2,4
Jerome Onguene,Salzburg,21,DF,360,0,0.3,-0.3,0,0,0,1,1,1,0,4,7,4
Jordi Alba,Barcelona,30,DF,175,0,0,0,0,0.6,-0.6,3,1,1,0,2,1,1
José Luis Palomino,Atalanta,29,DF,360,0,0.1,-0.1,0,0,0,1,1,1,0,11,14,7
José Sá,Olympiacos,26,GK,540,0,0,0,0,0,0,1,1,1,0,1,0,0
Julian Weigl,Borussia Dortmund,23,MF,341,0,0,0,0,0,0,1,1,1,0,3,5,9
Junior Firpo,Barcelona,22,DF,180,0,0,0,0,0,0,1,1,1,0,3,2,2
Jurgen Ekkelenkamp,Ajax,19,MF,2,0,0,0,0,0,0,1,1,1,0,0,1,0
Kevin Kampl,RasenBallsport Leipzig,28,MF,135,0,0,0,0,0,0,3,1,1,0,4,1,3
Keylor Navas,Paris Saint-Germain,32,GK,450,0,0,0,0,0,0,1,1,1,0,0,0,0
Kwadwo Asamoah,Inter,30,MF,260,0,0,0,0,0.1,-0.1,3,1,1,0,1,1,4
Lars Bender,Bayer Leverkusen,30,MF,270,0,0,0,0,0.3,-0.3,1,1,1,0,5,9,7
Leonardo Balerdi,Borussia Dortmund,20,DF,7,0,0,0,0,0,0,1,1,1,0,0,0,0
Lovro Majer,Dinamo Zagreb,21,MF,9,0,0,0,0,0,0,1,1,1,0,0,0,0
Manuel Neuer,Bayern Munich,33,GK,540,0,0,0,0,0,0,1,1,1,0,0,0,1
Marcos Antônio,Shakhtar Donetsk,19,MF,25,0,0,0,0,0,0,1,1,1,0,2,1,1
Marquinhos,Paris Saint-Germain,25,DF,520,0,0.1,-0.1,0,0.2,-0.2,2,1,1,0,10,8,6
Marten de Roon,Atalanta,28,MF,540,0,0.1,-0.1,1,0.8,0.2,1,1,1,0,13,14,18
Mats Hummels,Borussia Dortmund,30,DF,540,0,0.1,-0.1,0,0.1,-0.1,1,1,1,0,27,10,6
Mats Rits,Club Brugge,26,MF,397,0,0.2,-0.2,0,0.1,-0.1,2,1,1,0,3,7,12
Maxi Gómez,Valencia,22,FW,347,0,0.5,-0.5,1,0.1,0.9,4,1,1,0,0,0,0
Maximiliano Lovera,Olympiacos,20,FW,101,0,0.1,-0.1,1,0,1,3,1,1,0,0,0,1
Milan Škriniar,Inter,24,"DF,MF",540,0,0,0,0,0.1,-0.1,3,1,1,0,13,11,4
Miloš Vulić,FK Crvena Zvezda,22,MF,182,1,0.2,0.8,0,0.1,-0.1,2,1,1,0,4,1,5
Musa Barrow,Atalanta,20,FW,2,0,0,0,0,0,0,1,1,1,0,0,0,0
Mykola Matviyenko,Shakhtar Donetsk,23,DF,536,0,0.3,-0.3,0,0.2,-0.2,1,1,1,0,16,6,8
Nacho,Real Madrid,29,DF,45,0,0,0,0,0,0,3,1,1,0,1,1,0
Nemanja Milunović,FK Crvena Zvezda,30,DF,540,1,0.3,0.7,0,0,0,1,1,1,0,11,12,7
Nianzou Kouassi,Paris Saint-Germain,17,DF,75,0,0,0,0,0,0,1,1,1,0,2,2,1
Oliver Skipp,Tottenham,18,MF,29,0,0,0,0,0,0,1,1,1,0,1,1,0
Olivier Giroud,Chelsea,32,FW,17,0,0.1,-0.1,0,0,0,1,1,1,0,0,0,0
Ondřej Kolář,Slavia Prague,24,GK,540,0,0,0,0,0,0,2,1,1,0,0,0,2
Paco Alcácer,Borussia Dortmund,25,FW,113,0,0.6,-0.6,1,0.5,0.5,1,1,1,0,4,1,1
Rafael,Lyon,29,"DF,MF",73,0,0,0,0,0,0,4,1,1,0,1,3,1
Raphaël Varane,Real Madrid,26,"DF,MF",540,0,0.7,-0.7,0,0,0,1,1,1,0,7,7,6
Roger Ibanez,Atalanta,20,MF,19,0,0,0,0,0,0,1,1,1,0,0,0,0
Ross Barkley,Chelsea,25,MF,10,0,0.8,-0.8,0,0,0,1,1,1,0,0,1,0
Ruud Vormer,Club Brugge,31,MF,263,0,0,0,0,1.1,-1.1,1,1,1,0,2,5,5
Selçuk İnan,Galatasaray,34,MF,59,0,0,0,0,0,0,1,1,1,0,2,0,0
Siebe Schrijvers,Club Brugge,23,FW,76,0,0.2,-0.2,0,0.1,-0.1,4,1,1,0,3,2,2
Thomas Delaney,Borussia Dortmund,27,MF,245,0,0,0,0,0.1,-0.1,1,1,1,0,3,4,1
Thomas Meunier,Paris Saint-Germain,27,DF,360,1,0.8,0.2,0,0.4,-0.4,2,1,1,0,5,8,6
Thomas Müller,Bayern Munich,29,"FW,MF",259,2,1.5,0.5,2,1.1,0.9,1,1,1,0,1,4,5
Tiago Djaló,Lille,19,DF,267,0,0,0,0,0,0,3,1,1,0,2,5,3
Vasilis Torosidis,Olympiacos,34,"DF,MF",90,0,0,0,0,0,0,1,1,1,0,0,0,1
Vinicius Júnior,Real Madrid,19,MF,118,1,0.6,0.4,0,0.6,-0.6,6,1,1,0,0,4,1
Virgil van Dijk,Liverpool,28,DF,540,0,0.4,-0.4,0,0.2,-0.2,3,1,1,0,8,6,1
Vladislav Ignatyev,Lokomotiv Moscow,32,"FW,MF",440,0,0,0,0,0.1,-0.1,5,1,1,0,5,11,15
