Player,Club,Minutes
Mohamed Salah,Liverpool,16161
Roberto Firmino,Liverpool,15305
Andrew Robertson,Liverpool,14988
Fabinho,Liverpool,14953
Georginio Wijnaldum,Liverpool,14820
Virgil van Dijk,Liverpool,14722
Sadio Mané,Liverpool,14492
Alisson,Liverpool,13855
James Milner,Liverpool,12463
Joel Matip,Liverpool,11402
Jordan Henderson,Liverpool,11340
Dejan Lovren,Liverpool,11066
Xherdan Shaqiri,Liverpool,9289
Trent Alexander-Arnold,Liverpool,7506
Naby Keita,Liverpool,7397
Adrián,Liverpool,6891
Adam Lallana,Liverpool,6731
Divock Origi,Liverpool,5681
Alex Oxlade Chamberlain,Liverpool,5583
Joe Gomez,Liverpool,5171
