ShotsPerGame,CurrentClub,PassingAccuracy,Rating,Player Age,MotM,RedCards,Minutes,YellowCards,AppearancesAsSub,Appearances,AerielsWon,Player,Assists,Goals
0.82,Burnley,67.96000000000001,6.914, 34,0,1,4876,19,3,23,1.5,Phil Bardsley,1,0
1.55,Burnley,70.99999999999999,6.79, 29,3,0,9945,11,24,100,1.3125,Johann Gudmundsson,28,13
0.8666666666666667,Burnley,85.36666666666667,6.73, 20,3,0,2628,2,3,19,0.6,Dwight McNeil,9,4
0.4666666666666666,Burnley,70.31666666666666,7.039999999999999, 27,12,1,9728,23,17,6,3.766666666666667,James Tarkowski,5,4
0.62,Burnley,70.8,7.066, 30,7,0,14254,29,0,0,4.08,Ben Mee,3,3
1.6800000000000002,Burnley,56.48,6.612, 30,4,1,7403,28,41,68,3.02,Ashley Barnes,4,32
0.3666666666666667,Burnley,73.03333333333333,6.905000000000001, 31,7,0,12988,26,3,79,1.6333333333333335,Erik Pieters,9,3
0.16,Burnley,72.64,6.886, 26,6,0,10218,12,9,72,1.5999999999999999,Charlie Taylor,8,1
0.18,Burnley,67.54,6.95, 30,5,0,10541,22,5,69,1.44,Matthew Lowton,9,1
2.183333333333333,Burnley,63.81666666666667,6.7700000000000005, 27,11,0,11857,8,19,123,3.0666666666666664,Chris Wood,12,66
0.0,Burnley,39.9,6.816666666666666, 27,0,0,6354,3,1,34,0.5333333333333333,Nick Pope,0,0
0.52,Burnley,80.70000000000002,6.7299999999999995, 30,1,0,12355,23,12,53,1.54,Jack Cork,5,4
0.6166666666666667,Burnley,78.76666666666667,6.54, 29,2,0,9866,23,19,98,0.4166666666666667,Ashley Westwood,12,4
0.9375,Burnley,78.07499999999999,6.46125, 27,3,1,10705,22,26,114,0.8375,Jeff Hendrick,6,11
1.3625,Burnley,68.275,6.752499999999999, 27,9,2,8087,13,25,70,0.5625,Robbie Brady,13,11
1.6500000000000001,Burnley,71.5,6.508333333333333, 30,7,1,8817,9,40,49,1.5166666666666666,Jay Rodriguez,9,37
0.8714285714285713,Burnley,77.6857142857143,6.355714285714285, 27,4,0,7342,4,42,82,0.6,Matej Vydra,10,30
0.3714285714285714,Burnley,74.21428571428571,6.390000000000001, 32,1,0,5497,6,28,61,0.1285714285714286,Aaron Lennon,4,6
0.82,Burnley,67.96000000000001,6.914, 34,0,1,4876,19,3,23,1.5,Phil Bardsley,1,0
1.55,Burnley,70.99999999999999,6.79, 29,3,0,9945,11,24,100,1.3125,Johann Gudmundsson,28,13
0.8666666666666667,Burnley,85.36666666666667,6.73, 20,3,0,2628,2,3,19,0.6,Dwight McNeil,9,4
0.4666666666666666,Burnley,70.31666666666666,7.039999999999999, 27,12,1,9728,23,17,6,3.766666666666667,James Tarkowski,5,4
0.62,Burnley,70.8,7.066, 30,7,0,14254,29,0,0,4.08,Ben Mee,3,3
1.6800000000000002,Burnley,56.48,6.612, 30,4,1,7403,28,41,68,3.02,Ashley Barnes,4,32
0.3666666666666667,Burnley,73.03333333333333,6.905000000000001, 31,7,0,12988,26,3,79,1.6333333333333335,Erik Pieters,9,3
0.16,Burnley,72.64,6.886, 26,6,0,10218,12,9,72,1.5999999999999999,Charlie Taylor,8,1
0.18,Burnley,67.54,6.95, 30,5,0,10541,22,5,69,1.44,Matthew Lowton,9,1
2.183333333333333,Burnley,63.81666666666667,6.7700000000000005, 27,11,0,11857,8,19,123,3.0666666666666664,Chris Wood,12,66
0.0,Burnley,39.9,6.816666666666666, 27,0,0,6354,3,1,34,0.5333333333333333,Nick Pope,0,0
0.52,Burnley,80.70000000000002,6.7299999999999995, 30,1,0,12355,23,12,53,1.54,Jack Cork,5,4
0.6166666666666667,Burnley,78.76666666666667,6.54, 29,2,0,9866,23,19,98,0.4166666666666667,Ashley Westwood,12,4
0.9375,Burnley,78.07499999999999,6.46125, 27,3,1,10705,22,26,114,0.8375,Jeff Hendrick,6,11
1.3625,Burnley,68.275,6.752499999999999, 27,9,2,8087,13,25,70,0.5625,Robbie Brady,13,11
1.6500000000000001,Burnley,71.5,6.508333333333333, 30,7,1,8817,9,40,49,1.5166666666666666,Jay Rodriguez,9,37
0.8714285714285713,Burnley,77.6857142857143,6.355714285714285, 27,4,0,7342,4,42,82,0.6,Matej Vydra,10,30
0.3714285714285714,Burnley,74.21428571428571,6.390000000000001, 32,1,0,5497,6,28,61,0.1285714285714286,Aaron Lennon,4,6
0.7,Sheffield United,78.9,7.1175, 27,5,1,10859,18,1,32,4.1,John Egan,3,7
1.0142857142857145,Sheffield United,81.35714285714286,6.995714285714286, 28,13,0,12956,32,34,38,1.0857142857142856,Oliver Norwood,22,11
0.39999999999999997,Sheffield United,74.0,6.9025, 29,2,0,9246,18,2,1,1.25,Enda Stevens,12,5
0.9333333333333332,Sheffield United,82.46666666666667,6.669999999999999, 25,1,0,3417,6,20,26,0.7666666666666666,John Lundstram,5,6
1.3333333333333333,Sheffield United,80.23333333333333,7.073333333333333, 28,2,1,8473,24,0,0,0.6,John Fleck,17,5
0.3666666666666667,Sheffield United,71.96666666666665,6.97, 31,12,1,8328,21,3,83,3.033333333333333,Chris Basham,2,6
0.55,Sheffield United,75.35,6.782500000000001, 26,1,0,7388,13,5,56,1.0,George Baldock,4,3
2.3600000000000003,Sheffield United,73.67999999999999,6.840000000000001, 31,4,0,9062,11,34,96,2.0,David McGoldrick,13,30
0.95,Sheffield United,65.675,6.32, 23,1,0,1552,2,56,11,0.55,Lys Mousset,3,6
0.03333333333333333,Sheffield United,50.20000000000001,6.566666666666666, 22,0,0,5490,2,0,61,0.6,Dean Henderson,1,0
1.0,Sheffield United,72.06666666666666,6.558333333333333, 23,9,0,5676,9,26,60,2.2166666666666663,Oliver McBurnie,5,32
0.5714285714285714,Sheffield United,89.44285714285714,6.764285714285714, 27,2,1,4833,12,16,39,0.7714285714285715,Muhamed Besic,6,3
1.633333333333333,Sheffield United,77.41666666666667,6.958333333333333, 27,8,2,13366,23,19,107,0.5333333333333333,Luke Freeman,28,17
0.38333333333333336,Sheffield United,76.95,6.870000000000001, 37,4,2,6626,6,10,52,2.35,Phil Jagielka,2,4
1.6428571428571428,Sheffield United,74.35714285714286,6.509999999999999, 24,7,0,8992,8,41,103,0.3285714285714286,Callum Robinson,14,32
0.82,Sheffield United,71.6,6.726000000000001, 25,4,0,13422,16,21,148,0.62,Ben Osborn,22,12
1.2666666666666666,Sheffield United,73.89999999999999,6.576666666666667, 33,7,1,5567,7,19,62,0.9333333333333332,Billy Sharp,8,37
0.425,Sheffield United,89.275,6.1175, 26,0,0,285,0,10,2,0.075,Ravel Morrison,0,0
1.475,Sheffield United,72.4,6.5125, 34,6,1,5116,6,23,56,2.3499999999999996,Leon Clarke,10,25
0.7,Sheffield United,78.9,7.1175, 27,5,1,10859,18,1,32,4.1,John Egan,3,7
1.0142857142857145,Sheffield United,81.35714285714286,6.995714285714286, 28,13,0,12956,32,34,38,1.0857142857142856,Oliver Norwood,22,11
0.39999999999999997,Sheffield United,74.0,6.9025, 29,2,0,9246,18,2,1,1.25,Enda Stevens,12,5
0.9333333333333332,Sheffield United,82.46666666666667,6.669999999999999, 25,1,0,3417,6,20,26,0.7666666666666666,John Lundstram,5,6
1.3333333333333333,Sheffield United,80.23333333333333,7.073333333333333, 28,2,1,8473,24,0,0,0.6,John Fleck,17,5
0.3666666666666667,Sheffield United,71.96666666666665,6.97, 31,12,1,8328,21,3,83,3.033333333333333,Chris Basham,2,6
0.55,Sheffield United,75.35,6.782500000000001, 26,1,0,7388,13,5,56,1.0,George Baldock,4,3
2.3600000000000003,Sheffield United,73.67999999999999,6.840000000000001, 31,4,0,9062,11,34,96,2.0,David McGoldrick,13,30
0.95,Sheffield United,65.675,6.32, 23,1,0,1552,2,56,11,0.55,Lys Mousset,3,6
0.03333333333333333,Sheffield United,50.20000000000001,6.566666666666666, 22,0,0,5490,2,0,61,0.6,Dean Henderson,1,0
1.0,Sheffield United,72.06666666666666,6.558333333333333, 23,9,0,5676,9,26,60,2.2166666666666663,Oliver McBurnie,5,32
0.5714285714285714,Sheffield United,89.44285714285714,6.764285714285714, 27,2,1,4833,12,16,39,0.7714285714285715,Muhamed Besic,6,3
1.633333333333333,Sheffield United,77.41666666666667,6.958333333333333, 27,8,2,13366,23,19,107,0.5333333333333333,Luke Freeman,28,17
0.38333333333333336,Sheffield United,76.95,6.870000000000001, 37,4,2,6626,6,10,52,2.35,Phil Jagielka,2,4
1.6428571428571428,Sheffield United,74.35714285714286,6.509999999999999, 24,7,0,8992,8,41,103,0.3285714285714286,Callum Robinson,14,32
0.82,Sheffield United,71.6,6.726000000000001, 25,4,0,13422,16,21,148,0.62,Ben Osborn,22,12
1.2666666666666666,Sheffield United,73.89999999999999,6.576666666666667, 33,7,1,5567,7,19,62,0.9333333333333332,Billy Sharp,8,37
0.425,Sheffield United,89.275,6.1175, 26,0,0,285,0,10,2,0.075,Ravel Morrison,0,0
1.475,Sheffield United,72.4,6.5125, 34,6,1,5116,6,23,56,2.3499999999999996,Leon Clarke,10,25
2.1076923076923078,Manchester City,80.79230769230769,7.430769230769231, 28,30,0,13383,19,19,123,0.39230769230769236,Kevin De Bruyne,69,31
1.8699999999999999,Manchester City,79.36999999999999,7.325999999999999, 28,29,0,12968,9,26,135,0.5599999999999999,Riyad Mahrez,41,54
2.0846153846153843,Manchester City,82.35384615384615,7.278461538461538, 24,24,1,14761,24,27,126,0.43076923076923074,Raheem Sterling,41,76
1.1538461538461537,Manchester City,85.97692307692309,7.116153846153848, 25,14,0,13960,20,49,126,0.3153846153846154,Bernardo Silva,29,42
0.76,Manchester City,91.63,6.971000000000001, 23,9,0,9235,21,27,99,1.52,Rodrigo,6,6
3.2615384615384615,Manchester City,81.53076923076922,7.275384615384615, 31,26,1,13394,15,24,149,0.49999999999999994,Sergio Agüero,26,121
1.4583333333333333,Manchester City,86.30833333333334,7.175000000000001, 33,12,0,13185,18,15,123,0.39999999999999997,David Silva,47,30
2.1818181818181817,Manchester City,79.39090909090909,7.0663636363636355, 22,12,1,9411,28,54,94,1.0636363636363635,Gabriel Jesus,23,57
0.5000000000000001,Manchester City,87.30909090909091,7.008181818181819, 25,5,2,14003,33,2,59,2.518181818181818,Aymeric Laporte,5,10
0.7363636363636363,Manchester City,87.11818181818181,6.724545454545455, 22,1,0,5394,6,24,43,0.8363636363636363,Oleksandr Zinchenko,12,3
0.8750000000000001,Manchester City,82.2,7.187499999999999, 25,6,2,10364,25,28,109,0.7000000000000001,João Cancelo,17,5
0.8692307692307693,Manchester City,87.85384615384616,7.00076923076923, 34,7,4,15384,38,13,138,2.1000000000000005,Fernandinho,13,13
0.0,Manchester City,75.22222222222223,6.842222222222222, 26,3,1,12914,12,0,146,0.26666666666666666,Ederson,3,0
0.5916666666666667,Manchester City,82.025,6.978333333333334, 25,5,2,7205,21,10,59,0.775,Benjamin Mendy,18,1
0.5583333333333333,Manchester City,93.55,6.8933333333333335, 25,2,0,10927,8,16,106,1.8250000000000004,John Stones,0,6
0.4923076923076923,Manchester City,83.86923076923077,6.952307692307692, 29,3,1,15159,28,10,74,1.8153846153846158,Kyle Walker,18,3
0.66,Manchester City,76.28,7.016, 22,5,0,7884,8,6,12,0.6599999999999999,Angeliño,20,4
