DerbyFlag,HomeTeam,AwayTeam,Result,Date,Scoreline,Outcome
0,Leicester,Liverpool,lost,01/09/2018,1-2,-1
0,Man City,Newcastle,won,01/09/2018,2-1,1
0,West Ham,Wolves,lost,01/09/2018,0-1,-1
0,Burnley,Man United,lost,02/09/2018,0-2,-1
0,Cardiff,Arsenal,lost,02/09/2018,2-3,-1
0,Watford,Tottenham,won,02/09/2018,2-1,1
0,Bournemouth,Leicester,won,15/09/2018,4-2,1
0,Chelsea,Cardiff,won,15/09/2018,4-1,1
0,Huddersfield,Crystal Palace,lost,15/09/2018,0-1,-1
0,Man City,Fulham,won,15/09/2018,3-0,1
0,Newcastle,Arsenal,lost,15/09/2018,1-2,-1
0,Tottenham,Liverpool,lost,15/09/2018,1-2,-1
0,Watford,Man United,lost,15/09/2018,1-2,-1
0,Everton,West Ham,lost,16/09/2018,1-3,-1
0,Wolves,Burnley,won,16/09/2018,1-0,1
0,Southampton,Brighton,drew,17/09/2018,2-2,0
0,Brighton,Tottenham,lost,22/09/2018,1-2,-1
0,Burnley,Bournemouth,won,22/09/2018,4-0,1
0,Cardiff,Man City,lost,22/09/2018,0-5,-1
0,Crystal Palace,Newcastle,drew,22/09/2018,0-0,0
0,Fulham,Watford,drew,22/09/2018,1-1,0
0,Leicester,Huddersfield,won,22/09/2018,3-1,1
0,Liverpool,Southampton,won,22/09/2018,3-0,1
0,Man United,Wolves,drew,22/09/2018,1-1,0
0,Arsenal,Everton,won,23/09/2018,2-0,1
1,West Ham,Chelsea,drew,23/09/2018,0-0,0
0,Arsenal,Watford,won,29/09/2018,2-0,1
0,Chelsea,Liverpool,drew,29/09/2018,1-1,0
0,Everton,Fulham,won,29/09/2018,3-0,1
0,Huddersfield,Tottenham,lost,29/09/2018,0-2,-1
0,Man City,Brighton,won,29/09/2018,2-0,1
0,Newcastle,Leicester,lost,29/09/2018,0-2,-1
0,West Ham,Man United,won,29/09/2018,3-1,1
0,Wolves,Southampton,won,29/09/2018,2-0,1
0,Cardiff,Burnley,lost,30/09/2018,1-2,-1
0,Bournemouth,Crystal Palace,won,01/10/2018,2-1,1
0,Brighton,West Ham,won,05/10/2018,1-0,1
0,Burnley,Huddersfield,drew,06/10/2018,1-1,0
