YearDrafted,Player,OverallRank,VORP,Team,OverallReDraft,RankDeficit,RankDeficitWeighted
2009,Dante Cunningham,33,3.7,POR,20,13.0,0.3939393939393939
2009,Jermaine Taylor,32,-0.5,WAS,39,-7.0,-0.21875
2009,Jeff Ayres,31,0.4,SAC,28,3.0,0.0967741935483871
2009,Christian Eyenga,30,-0.5,CLE,39,-9.0,-0.3
2009,Toney Douglas,29,2.6,LAL,23,6.0,0.20689655172413793
2009,Wayne Ellington,28,-0.1,MIN,35,-7.0,-0.25
2009,DeMarre Carroll,27,9.1,MEM,16,11.0,0.4074074074074074
2009,Taj Gibson,26,10.0,CHI,12,14.0,0.5384615384615384
2009,Rodrigue Beaubois,25,1.4,OKC,25,0.0,0.0
2009,Byron Mullens,24,-2.3,DAL,48,-24.0,-1.0
2009,Omri Casspi,23,1.6,SAC,24,-1.0,-0.043478260869565216
2009,Victor Claver,22,-0.4,POR,37,-15.0,-0.6818181818181818
2009,Darren Collison,21,11.1,NOH,8,13.0,0.6190476190476191
2009,Eric Maynor,20,-2.7,UTA,49,-29.0,-1.45
2009,Jeff Teague,19,10.0,ATL,12,7.0,0.3684210526315789
2009,Ty Lawson,18,10.9,MIN,9,9.0,0.5
2009,Jrue Holiday,17,18.0,PHI,5,12.0,0.7058823529411765
2009,James Johnson,16,9.7,CHI,15,1.0,0.0625
2009,Austin Daye,15,-0.6,DET,41,-26.0,-1.7333333333333334
2009,Earl Clark,14,-1.5,PHO,47,-33.0,-2.357142857142857
2009,Tyler Hansbrough,13,-1.0,IND,45,-32.0,-2.4615384615384617
2009,Gerald Henderson,12,-0.9,CHA,42,-30.0,-2.5
2009,Terrence Williams,11,-1.4,NJN,46,-35.0,-3.1818181818181817
2009,Brandon Jennings,10,10.4,MIL,11,-1.0,-0.1
2009,DeMar DeRozan,9,10.0,TOR,12,-3.0,-0.3333333333333333
2009,Jordan Hill,8,0.0,NYK,32,-24.0,-3.0
2009,Stephen Curry,7,51.1,GSW,2,5.0,0.7142857142857143
2009,Jonny Flynn,6,-2.7,MIN,49,-43.0,-7.166666666666667
2009,Ricky Rubio,5,12.3,MIN,7,-2.0,-0.4
2009,Tyreke Evans,4,12.6,SAC,6,-2.0,-0.5
2009,James Harden,3,59.9,OKC,1,2.0,0.6666666666666666
2009,Hasheem Thabeet,2,0.4,MEM,28,-26.0,-13.0
2009,Blake Griffin,1,32.3,LAC,3,-2.0,-2.0
2010,Dwayne Collins,60,-5.0,PHO,52,8.0,0.13333333333333333
2010,Stanley Robinson,59,-5.0,ORL,52,7.0,0.11864406779661017
2010,Derrick Caracter,58,-0.2,LAL,36,22.0,0.3793103448275862
2010,Ryan Reid,57,0.0,IND,26,31.0,0.543859649122807
2010,Hamady N'Diaye,56,-0.1,MIN,31,25.0,0.44642857142857145
2010,Jeremy Evans,55,2.0,UTA,20,35.0,0.6363636363636364
2010,Willie Warren,54,-0.1,LAC,31,23.0,0.42592592592592593
2010,Pape Sy,53,0.0,ATL,26,27.0,0.5094339622641509
2010,Luke Harangody,52,-0.3,BOS,40,12.0,0.23076923076923078
2010,Magnum Rolle,51,-5.0,OKC,52,-1.0,-0.0196078431372549
2010,Solomon Alabi,50,-0.2,DAL,36,14.0,0.28
2010,Ryan Richards,49,-5.0,SAS,52,-3.0,-0.061224489795918366
2010,Latavious Williams,48,-5.0,MIA,52,-4.0,-0.08333333333333333
2010,Tiny Gallon,47,-5.0,MIL,52,-5.0,-0.10638297872340426
2010,Gani Lawal,46,0.0,PHO,26,20.0,0.43478260869565216
2010,Paulo Prestes,45,-5.0,MIN,52,-7.0,-0.15555555555555556
2010,Jerome Jordan,44,0.2,MIL,24,20.0,0.45454545454545453
