Team,Tournament,Mins,goals,assists,manofthematch,yellows,reds,pp,aw,ws,SPG,appearances,sub_apps,season,seasonkey
Tottenham,EPL,985,6,1,1,0,0,69.1,2.3,7.01,2.7,3,1,2019/2020,2019
Tottenham,EPL,2427,17,4,6,5,0,73.1,1.8,7.38,3.6,3,1,2018/2019,2018
Tottenham,EPL,3083,30,2,9,5,0,71.2,1.6,7.6,5.0,3,1,2017/2018,2017
Tottenham,EPL,2536,29,7,7,3,0,71.7,1.5,7.68,3.7,3,1,2016/2017,2016
Tottenham,EPL,3370,25,1,8,5,0,73.1,2.0,7.53,4.2,3,1,2015/2016,2015
