Player,PlayerAge,Minutes,Name,Club,Nationality
Jonathan Tah-Bayer Leverkusen,23,450,Jonathan Tah,Bayer Leverkusen,GER
Presnel Kimpembe-Paris Saint-Germain,23,450,Presnel Kimpembe,Paris Saint-Germain,FRA
Dmitri Barinov-Lokomotiv Moscow,22,450,Dmitri Barinov,Lokomotiv Moscow,RUS
Gaëtan Coucke-Genk,20,450,Gaëtan Coucke,Genk,BEL
Victor Osimhen-Lille,20,450,Victor Osimhen,Lille,NGA
Tomás Tavares-Benfica,18,450,Tomás Tavares,Benfica,POR
Donny van de Beek-Ajax,22,448,Donny van de Beek,Ajax,NED
Krepin Diatta-Club Brugge,20,436,Krepin Diatta,Club Brugge,SEN
Kai Havertz-Bayer Leverkusen,20,434,Kai Havertz,Bayer Leverkusen,GER
Mohamed Camara-Olympiacos,22,418,Mohamed Camara,Olympiacos,GUI
Nikola Moro-Dinamo Zagreb,21,416,Nikola Moro,Dinamo Zagreb,CRO
Konrad Laimer-RasenBallsport Leipzig,22,410,Konrad Laimer,RasenBallsport Leipzig,AUT
Sergiño Dest-Ajax,18,405,Sergiño Dest,Ajax,USA
Enoch Mwepu-Salzburg,21,404,Enoch Mwepu,Salzburg,ZAM
Timo Werner-RasenBallsport Leipzig,23,399,Timo Werner,RasenBallsport Leipzig,GER
Dominik Szoboszlai-Salzburg,18,393,Dominik Szoboszlai,Salzburg,HUN
Dayot Upamecano-RasenBallsport Leipzig,20,391,Dayot Upamecano,RasenBallsport Leipzig,FRA
Timothy Castagne-Atalanta,23,385,Timothy Castagne,Atalanta,BEL
Edson Álvarez-Ajax,21,377,Edson Álvarez,Ajax,MEX
Francisco Reis Ferreira-Benfica,22,376,Francisco Reis Ferreira,Benfica,POR
Erling Braut Håland-Salzburg,19,374,Erling Braut Håland,Salzburg,NOR
Yusuf Yazıcı-Lille,22,372,Yusuf Yazıcı,Lille,TUR
Trent Alexander-Arnold-Liverpool,20,372,Trent Alexander-Arnold,Liverpool,ENG
Murilo Cerqueira-Lokomotiv Moscow,22,369,Murilo Cerqueira,Lokomotiv Moscow,BRA
Dele Alli-Tottenham,23,368,Dele Alli,Tottenham,ENG
Kingsley Coman-Bayern Munich,23,368,Kingsley Coman,Bayern Munich,FRA
Rodri-Manchester City,23,363,Rodri,Manchester City,ESP
Sebastián Driussi-Zenit St. Petersburg,23,363,Sebastián Driussi,Zenit St. Petersburg,ARG
Aleksei Miranchuk-Lokomotiv Moscow,23,360,Aleksei Miranchuk,Lokomotiv Moscow,RUS
Davinson Sánchez-Tottenham,23,360,Davinson Sánchez,Tottenham,COL
Fikayo Tomori-Chelsea,21,360,Fikayo Tomori,Chelsea,ENG
Jerome Onguene-Salzburg,21,360,Jerome Onguene,Salzburg,CMR
Carlos Cuesta-Genk,20,360,Carlos Cuesta,Genk,COL
Matthijs de Ligt-Juventus,19,360,Matthijs de Ligt,Juventus,NED
Rifat Zhemaletdinov-Lokomotiv Moscow,22,359,Rifat Zhemaletdinov,Lokomotiv Moscow,RUS
Houssem Aouar-Lyon,21,355,Houssem Aouar,Lyon,FRA
Joachim Andersen-Lyon,23,353,Joachim Andersen,Lyon,DEN
Maxi Gómez-Valencia,22,347,Maxi Gómez,Valencia,URU
Julian Weigl-Borussia Dortmund,23,341,Julian Weigl,Borussia Dortmund,GER
Viktor Kovalenko-Shakhtar Donetsk,23,338,Viktor Kovalenko,Shakhtar Donetsk,UKR
Kylian Mbappé-Paris Saint-Germain,20,330,Kylian Mbappé,Paris Saint-Germain,FRA
Gabriel Jesus-Manchester City,22,320,Gabriel Jesus,Manchester City,BRA
Tanguy Ndombele-Tottenham,22,313,Tanguy Ndombele,Tottenham,FRA
Joe Gomez-Liverpool,22,301,Joe Gomez,Liverpool,ENG
Njegoš Petrović-FK Crvena Zvezda,20,301,Njegoš Petrović,FK Crvena Zvezda,SRB
Ferrán Torres-Valencia,19,300,Ferrán Torres,Valencia,ESP
João Félix-Atletico Madrid,19,291,João Félix,Atletico Madrid,POR
Nicolò Barella-Inter,22,289,Nicolò Barella,Inter,ITA
Jonathan Bamba-Lille,23,280,Jonathan Bamba,Lille,FRA
Dodô-Shakhtar Donetsk,20,280,Dodô,Shakhtar Donetsk,BRA
Luiz Araújo-Lille,23,277,Luiz Araújo,Lille,BRA
Jeff Reine-Adélaïde-Lyon,21,276,Jeff Reine-Adélaïde,Lyon,FRA
Mason Mount-Chelsea,20,271,Mason Mount,Chelsea,ENG
Domagoj Bradarić-Lille,19,270,Domagoj Bradarić,Lille,CRO
Alphonso Davies-Bayern Munich,18,270,Alphonso Davies,Bayern Munich,CAN
Rodrygo-Real Madrid,18,270,Rodrygo,Real Madrid,BRA
Tiago Djaló-Lille,19,267,Tiago Djaló,Lille,POR
Christian Pulisic-Chelsea,20,266,Christian Pulisic,Chelsea,USA
Bryan Heynen-Genk,22,265,Bryan Heynen,Genk,BEL
Arthur Melo-Barcelona,22,264,Arthur Melo,Barcelona,BRA
Harry Winks-Tottenham,23,261,Harry Winks,Tottenham,ENG
Theo Bongonda-Genk,23,257,Theo Bongonda,Genk,BEL
Casper de Norre-Genk,22,257,Casper de Norre,Genk,BEL
Christopher Nkunku-RasenBallsport Leipzig,21,252,Christopher Nkunku,RasenBallsport Leipzig,FRA
Federico Valverde-Real Madrid,21,251,Federico Valverde,Real Madrid,URU
Patson Daka-Salzburg,20,241,Patson Daka,Salzburg,ZAM
Jonathan Ikone-Lille,21,240,Jonathan Ikone,Lille,FRA
Rodrigo Bentancur-Juventus,22,239,Rodrigo Bentancur,Juventus,URU
Carlos Coronel-Salzburg,22,237,Carlos Coronel,Salzburg,BRA
Nadiem Amiri-Bayer Leverkusen,22,237,Nadiem Amiri,Bayer Leverkusen,GER
Bertrand Traoré-Lyon,23,229,Bertrand Traoré,Lyon,BFA
Noussair Mazraoui-Ajax,21,225,Noussair Mazraoui,Ajax,MAR
Martin Terrier-Lyon,22,217,Martin Terrier,Lyon,FRA
Carlos Soler-Valencia,22,213,Carlos Soler,Valencia,ESP
Amadou Haidara-RasenBallsport Leipzig,21,213,Amadou Haidara,RasenBallsport Leipzig,MLI
Reece James-Chelsea,19,202,Reece James,Chelsea,ENG
Maxwel Cornet-Lyon,22,199,Maxwel Cornet,Lyon,CIV
Juan Foyth-Tottenham,21,197,Juan Foyth,Tottenham,ARG
Stefano Sensi-Inter,23,191,Stefano Sensi,Inter,ITA
Phil Foden-Manchester City,19,185,Phil Foden,Manchester City,ENG
Thomas Lemar-Atletico Madrid,23,182,Thomas Lemar,Atletico Madrid,FRA
Miloš Vulić-FK Crvena Zvezda,22,182,Miloš Vulić,FK Crvena Zvezda,SRB
Andreas Christensen-Chelsea,23,180,Andreas Christensen,Chelsea,DEN
Niklas Süle-Bayern Munich,23,180,Niklas Süle,Bayern Munich,GER
David Neres-Ajax,22,180,David Neres,Ajax,BRA
Junior Firpo-Barcelona,22,180,Junior Firpo,Barcelona,ESP
