ShotsPerGame,CurrentClub,PassingAccuracy,Rating,Player Age,MotM,RedCards,Minutes,YellowCards,AppearancesAsSub,Appearances,AerielsWon,Player,Assists,Goals
1.425,Manchester City,86.39999999999999,7.165833333333334, 33,12,0,13049,18,15,121,0.39999999999999997,David Silva,47,29
0.5000000000000001,Manchester City,87.30909090909091,7.008181818181819, 25,5,2,14003,33,2,59,2.518181818181818,Aymeric Laporte,5,10
0.7363636363636363,Manchester City,87.11818181818181,6.724545454545455, 22,1,0,5394,6,24,43,0.8363636363636363,Oleksandr Zinchenko,12,3
2.2454545454545456,Manchester City,79.17272727272729,7.103636363636363, 22,12,1,9184,27,52,92,1.009090909090909,Gabriel Jesus,22,57
0.4727272727272727,Manchester City,93.41818181818184,6.883636363636364, 25,2,0,10608,8,15,103,1.7818181818181822,John Stones,0,6
0.8384615384615385,Manchester City,89.19999999999999,7.113076923076924, 31,11,1,14261,43,7,87,3.392307692307692,Nicolás Otamendi,1,8
0.0,Manchester City,75.5888888888889,6.816666666666666, 26,3,1,12598,11,0,142,0.25555555555555554,Ederson,3,0
0.4384615384615384,Manchester City,84.57692307692308,7.001538461538461, 29,3,1,14887,28,9,72,1.8000000000000003,Kyle Walker,17,2
1.6249999999999998,Manchester City,90.39999999999999,6.989999999999999, 28,7,0,9058,12,37,92,0.39166666666666666,Ilkay Gündogan,11,19
0.5083333333333334,Manchester City,81.9,6.973333333333334, 25,5,2,6971,19,10,57,0.7333333333333334,Benjamin Mendy,18,1
0.8916666666666667,Manchester City,81.89999999999999,7.202499999999998, 25,6,2,10165,25,27,107,0.7583333333333334,João Cancelo,17,5
0.0,Manchester City,95.8,6.41, 18,0,0,27,0,1,0,0.0,Eric Garcia,0,0
0.7857142857142857,Manchester City,73.55714285714285,6.431428571428571, 19,1,0,915,0,23,8,0.15714285714285717,Phil Foden,1,4
0.74,Crystal Palace,76.20000000000002,6.792, 32,1,0,7177,14,9,44,3.0200000000000005,Scott Dann,3,9
1.7166666666666668,Crystal Palace,78.96666666666667,7.195, 26,16,1,12154,28,8,103,0.3,Wilfried Zaha,20,30
0.76,Crystal Palace,80.32000000000001,6.812, 32,1,0,10403,23,15,113,1.22,James McArthur,12,15
1.825,Crystal Palace,80.2625,6.913750000000001, 28,11,2,10169,20,22,104,1.6125000000000003,Jordan Ayew,11,24
1.2,Crystal Palace,81.38749999999999,6.94875, 28,4,0,9519,32,1,35,1.7875,Luka Milivojevic,4,25
0.36000000000000004,Crystal Palace,73.14000000000001,6.822, 29,2,0,9087,18,1,6,1.8000000000000003,Joel Ward,3,3
0.13999999999999999,Crystal Palace,74.22,6.586, 29,0,0,6010,10,10,60,1.8800000000000001,Martin Kelly,3,0
0.62,Crystal Palace,89.64,6.823, 33,1,1,9786,13,10,92,2.71,Gary Cahill,1,9
0.742857142857143,Crystal Palace,75.47142857142856,6.661428571428571, 26,1,0,6679,9,34,74,1.7,Jeffrey Schlupp,5,5
1.3142857142857145,Crystal Palace,79.61428571428571,6.955714285714286, 28,8,0,10322,8,21,116,0.05714285714285715,Andros Townsend,18,16
0.75,Crystal Palace,81.88749999999999,6.703749999999999, 29,4,1,11968,18,15,62,2.125,Cheikhou Kouyaté,7,8
0.0,Crystal Palace,43.724999999999994,6.7175, 32,5,0,8865,6,0,0,0.475,Vicente Guaita,0,0
1.1333333333333335,Crystal Palace,79.38333333333333,6.81, 29,4,0,11663,15,7,53,0.39999999999999997,Patrick van Aanholt,7,19
1.7,Crystal Palace,58.48571428571428,6.742857142857142, 28,13,0,8189,21,42,51,4.914285714285714,Christian Benteke,11,29
1.4125,Crystal Palace,83.2875,6.679999999999999, 24,1,0,8563,18,39,96,0.2625,Max Meyer,12,9
0.26666666666666666,Crystal Palace,82.64999999999999,6.476666666666667, 28,1,1,3705,9,12,11,0.4666666666666666,James McCarthy,3,3
0.16666666666666666,Crystal Palace,85.93333333333334,6.831666666666667, 29,0,0,7573,5,4,50,2.2666666666666666,Mamadou Sakho,2,3
0.925,Crystal Palace,58.650000000000006,6.3475, 26,1,0,1814,2,18,19,1.7000000000000002,Connor Wickham,4,7
0.8,Crystal Palace,86.25999999999999,6.398000000000001, 25,0,0,8456,16,28,94,0.5,Víctor Camarasa,8,11
1.0666666666666667,Southampton,80.16666666666667,7.246666666666667, 21,2,0,726,6,3,5,0.16666666666666666,Moussa Djenepo,0,5
0.9375,Southampton,81.1375,7.022500000000001, 27,7,0,12267,13,6,32,3.3125,Jannik Vestergaard,1,11
0.7666666666666666,Southampton,83.15,6.848333333333333, 28,3,0,10980,43,19,47,1.883333333333333,Oriol Romeu,0,4
0.45,Southampton,74.53999999999999,6.806, 28,2,0,10373,20,5,45,0.8700000000000001,Cédric Soares,11,1
1.985714285714286,Southampton,79.5142857142857,6.93, 25,14,1,11737,8,28,118,0.4857142857142857,Nathan Redmond,11,22
1.3,Southampton,81.05714285714285,6.818571428571429, 26,8,2,7306,22,48,79,0.37142857142857144,Sofiane Boufal,11,17
1.557142857142857,Southampton,64.71428571428571,6.421428571428571, 27,1,0,3093,2,19,37,0.48571428571428577,Danny Ings,5,14
1.4,Southampton,82.2,6.827142857142856, 24,2,0,8400,18,43,82,1.0142857142857142,James Ward-Prowse,11,17
0.22000000000000003,Southampton,80.44000000000001,6.754, 23,4,0,3974,11,2,26,2.1399999999999997,Jan Bednarek,1,2
1.655555555555556,Southampton,86.67777777777776,6.854444444444444, 24,3,2,8875,23,26,63,1.1555555555555554,Pierre-Emile Højbjerg,5,4
0.25,Southampton,59.7,6.6, 20,0,1,2114,4,3,20,1.9,Yan Valery,1,2
0.0,Southampton,45.03333333333333,6.473333333333334, 23,1,0,6030,1,0,67,0.3333333333333333,Angus Gunn,0,0
0.6428571428571429,Southampton,83.24285714285715,6.8100000000000005, 31,1,1,8020,5,12,38,2.6142857142857143,Maya Yoshida,1,4
1.975,Southampton,68.15,6.6475, 23,8,2,8351,9,30,93,0.9750000000000001,Che Adams,9,34
0.5285714285714286,Southampton,80.75714285714287,6.777142857142858, 30,0,0,11347,22,1,5,1.3714285714285714,Ryan Bertrand,11,4
0.8749999999999999,Southampton,62.074999999999996,6.489999999999999, 32,2,0,7150,16,61,66,2.65,Shane Long,8,20
0.43999999999999995,Southampton,75.08,6.542, 21,1,1,3458,5,9,29,1.72,Kevin Danso,2,4
0.2,Southampton,74.82000000000001,6.438, 25,2,1,5232,11,8,34,1.6,Jack Stephens,1,3
0.8333333333333334,Southampton,83.63333333333334,6.3933333333333335, 27,0,0,2559,4,23,25,0.21666666666666665,Stuart Armstrong,2,3
0.55,Southampton,68.075,6.0225, 19,0,0,202,1,10,1,0.0,Michael Obafemi,1,1
1.0666666666666667,Southampton,80.16666666666667,7.246666666666667, 21,2,0,726,6,3,5,0.16666666666666666,Moussa Djenepo,0,5
0.9375,Southampton,81.1375,7.022500000000001, 27,7,0,12267,13,6,32,3.3125,Jannik Vestergaard,1,11
0.7666666666666666,Southampton,83.15,6.848333333333333, 28,3,0,10980,43,19,47,1.883333333333333,Oriol Romeu,0,4
0.45,Southampton,74.53999999999999,6.806, 28,2,0,10373,20,5,45,0.8700000000000001,Cédric Soares,11,1
1.985714285714286,Southampton,79.5142857142857,6.93, 25,14,1,11737,8,28,118,0.4857142857142857,Nathan Redmond,11,22
1.3,Southampton,81.05714285714285,6.818571428571429, 26,8,2,7306,22,48,79,0.37142857142857144,Sofiane Boufal,11,17
1.557142857142857,Southampton,64.71428571428571,6.421428571428571, 27,1,0,3093,2,19,37,0.48571428571428577,Danny Ings,5,14
1.4,Southampton,82.2,6.827142857142856, 24,2,0,8400,18,43,82,1.0142857142857142,James Ward-Prowse,11,17
0.22000000000000003,Southampton,80.44000000000001,6.754, 23,4,0,3974,11,2,26,2.1399999999999997,Jan Bednarek,1,2
1.655555555555556,Southampton,86.67777777777776,6.854444444444444, 24,3,2,8875,23,26,63,1.1555555555555554,Pierre-Emile Højbjerg,5,4
0.25,Southampton,59.7,6.6, 20,0,1,2114,4,3,20,1.9,Yan Valery,1,2
0.0,Southampton,45.03333333333333,6.473333333333334, 23,1,0,6030,1,0,67,0.3333333333333333,Angus Gunn,0,0
0.6428571428571429,Southampton,83.24285714285715,6.8100000000000005, 31,1,1,8020,5,12,38,2.6142857142857143,Maya Yoshida,1,4
1.975,Southampton,68.15,6.6475, 23,8,2,8351,9,30,93,0.9750000000000001,Che Adams,9,34
0.5285714285714286,Southampton,80.75714285714287,6.777142857142858, 30,0,0,11347,22,1,5,1.3714285714285714,Ryan Bertrand,11,4
0.8749999999999999,Southampton,62.074999999999996,6.489999999999999, 32,2,0,7150,16,61,66,2.65,Shane Long,8,20
0.43999999999999995,Southampton,75.08,6.542, 21,1,1,3458,5,9,29,1.72,Kevin Danso,2,4
0.2,Southampton,74.82000000000001,6.438, 25,2,1,5232,11,8,34,1.6,Jack Stephens,1,3
0.8333333333333334,Southampton,83.63333333333334,6.3933333333333335, 27,0,0,2559,4,23,25,0.21666666666666665,Stuart Armstrong,2,3
0.55,Southampton,68.075,6.0225, 19,0,0,202,1,10,1,0.0,Michael Obafemi,1,1
2.2666666666666666,West Ham,65.98333333333333,7.446666666666668, 25,24,1,12444,13,12,58,5.95,Sébastien Haller,27,67
1.6714285714285715,West Ham,75.34285714285714,7.371428571428572, 26,22,0,10683,11,34,72,0.2571428571428571,Felipe Anderson,30,29
0.2857142857142857,West Ham,80.84285714285714,7.054285714285713, 25,6,1,5780,11,12,51,2.085714285714286,Arthur Masuaku,6,0
0.27999999999999997,West Ham,90.02000000000001,6.656000000000001, 20,3,0,5346,7,12,15,1.1,Declan Rice,0,2
1.6,West Ham,81.98750000000001,6.735, 29,3,0,3908,3,13,28,0.375,Andriy Yarmolenko,5,13
1.5799999999999998,West Ham,88.0,7.022, 26,9,0,8004,18,14,92,0.16,Manuel Lanzini,12,20
0.2833333333333333,West Ham,81.21666666666665,6.773333333333333, 31,0,0,9645,14,5,47,2.5833333333333335,Angelo Ogbonna,1,2
0.2833333333333333,West Ham,74.84999999999998,6.6816666666666675, 26,4,1,10664,38,18,65,0.9333333333333335,Ryan Fredericks,13,1
0.0,West Ham,58.9375,6.88, 34,8,0,14764,3,0,0,0.36250000000000004,Lukasz Fabianski,1,0
0.74,West Ham,77.44000000000001,6.68, 29,1,1,10451,11,5,77,1.28,Aaron Cresswell,14,5
0.72,West Ham,85.46,6.76, 32,4,2,10911,32,4,86,0.38,Mark Noble,9,20
0.38,West Ham,79.6,6.82, 22,2,2,11430,27,0,127,1.8800000000000001,Issa Diop,2,7
1.2833333333333334,West Ham,78.78333333333335,6.891666666666666, 32,16,0,10244,26,27,115,1.0,Robert Snodgrass,31,20
2.433333333333333,West Ham,68.98333333333333,7.055, 29,7,1,8448,11,21,62,1.9833333333333332,Michail Antonio,12,28
1.9416666666666667,West Ham,74.95833333333334,6.760833333333334, 31,3,0,9039,14,37,77,0.85,Chicharito,8,53
1.6500000000000001,West Ham,80.96249999999999,6.80875, 23,7,0,11171,16,37,118,0.5,Pablo Fornals,22,18
0.22500000000000003,West Ham,79.4125,6.723750000000001, 34,1,0,8648,20,18,53,1.1125,Pablo Zabaleta,5,1
0.0,West Ham,51.96,6.564, 33,1,0,4353,1,2,5,0.22000000000000003,Roberto Jiménez,0,0
0.48749999999999993,West Ham,85.1625,6.6362499999999995, 27,2,0,4990,13,28,54,0.375,Jack Wilshere,8,2
0.4000000000000001,West Ham,85.86666666666667,6.437777777777778, 33,0,1,6059,18,31,61,0.9888888888888887,Carlos Sánchez,1,2
0.5499999999999999,West Ham,80.8,6.623333333333334, 28,6,2,8355,18,1,1,2.3333333333333335,Fabián Balbuena,3,5
1.0,Newcastle United,70.4,6.84, 19,1,0,180,0,0,2,1.5,Matthew Longstaff,0,1
0.8374999999999999,Newcastle United,79.9125,6.98625, 27,8,0,8171,36,9,45,1.9874999999999998,Fabian Schär,5,9
0.5714285714285714,Newcastle United,73.57142857142857,6.6899999999999995, 30,2,0,7529,15,5,44,2.357142857142857,Ciaran Clark,3,9
1.72,Newcastle United,75.06,6.9159999999999995, 30,4,0,12548,31,10,140,0.8400000000000001,Matt Ritchie,26,21
0.33999999999999997,Newcastle United,79.74000000000001,6.864, 25,9,1,11302,16,11,83,3.08,Jamaal Lascelles,2,8
0.65,Newcastle United,77.71249999999999,6.834999999999999, 25,3,2,6898,12,32,71,0.5375000000000001,Jetro Willems,11,5
1.6833333333333333,Newcastle United,77.30000000000001,6.848333333333334, 27,4,3,9158,21,21,98,0.5499999999999999,Jonjo Shelvey,17,9
0.8800000000000001,Newcastle United,80.50000000000001,6.851999999999999, 24,6,2,7018,23,29,73,1.92,Isaac Hayden,8,5
0.75,Newcastle United,79.05000000000001,6.77, 21,0,0,1221,3,2,14,1.0,Sean Longstaff,1,1
1.1571428571428573,Newcastle United,81.25714285714285,6.660000000000001, 27,2,0,6304,6,51,56,0.4428571428571429,Christian Atsu,8,12
0.19999999999999998,Newcastle United,73.31666666666668,6.738333333333334, 28,1,1,10092,16,8,85,2.5166666666666666,Paul Dummett,0,1
1.9833333333333332,Newcastle United,73.18333333333334,6.781666666666666, 23,2,0,4032,12,7,38,1.8166666666666667,Joelinton,8,12
1.3285714285714287,Newcastle United,73.82857142857142,6.874285714285714, 22,7,1,8808,6,26,59,0.44285714285714295,Allan Saint-Maximin,13,15
0.15,Newcastle United,74.8,6.6866666666666665, 25,0,0,7440,9,15,52,1.1500000000000001,Javier Manquillo,6,1
0.0,Newcastle United,58.120000000000005,6.622, 30,1,0,6120,1,0,68,0.38,Martin Dubravka,0,0
0.2,Newcastle United,73.3,6.772, 26,1,1,9247,17,13,103,1.16,DeAndre Yedlin,10,2
0.6833333333333335,Newcastle United,89.43333333333334,6.621666666666666, 30,1,0,6628,11,27,70,0.9333333333333332,Ki Sung-yueng,5,4
1.52,Newcastle United,61.46,6.726000000000001, 30,6,1,4043,12,39,38,5.0200000000000005,Andy Carroll,3,19
2.0333333333333337,Newcastle United,78.76666666666667,6.921666666666667, 25,15,0,8511,11,6,47,0.21666666666666667,Miguel Almirón,22,22
0.26666666666666666,Newcastle United,79.56666666666666,6.713333333333334, 30,2,0,9584,17,5,17,2.0,Federico Fernández,5,2
0.17142857142857143,Newcastle United,70.74285714285715,6.28, 25,0,2,6235,5,19,67,0.5714285714285714,Emil Krafth,1,1
1.157142857142857,Newcastle United,72.2,6.601428571428571, 27,3,0,5280,8,34,54,1.5857142857142859,Yoshinori Muto,4,22
1.0,Newcastle United,70.4,6.84, 19,1,0,180,0,0,2,1.5,Matthew Longstaff,0,1
0.8374999999999999,Newcastle United,79.9125,6.98625, 27,8,0,8171,36,9,45,1.9874999999999998,Fabian Schär,5,9
0.5714285714285714,Newcastle United,73.57142857142857,6.6899999999999995, 30,2,0,7529,15,5,44,2.357142857142857,Ciaran Clark,3,9
1.72,Newcastle United,75.06,6.9159999999999995, 30,4,0,12548,31,10,140,0.8400000000000001,Matt Ritchie,26,21
0.33999999999999997,Newcastle United,79.74000000000001,6.864, 25,9,1,11302,16,11,83,3.08,Jamaal Lascelles,2,8
0.65,Newcastle United,77.71249999999999,6.834999999999999, 25,3,2,6898,12,32,71,0.5375000000000001,Jetro Willems,11,5
1.6833333333333333,Newcastle United,77.30000000000001,6.848333333333334, 27,4,3,9158,21,21,98,0.5499999999999999,Jonjo Shelvey,17,9
0.8800000000000001,Newcastle United,80.50000000000001,6.851999999999999, 24,6,2,7018,23,29,73,1.92,Isaac Hayden,8,5
0.75,Newcastle United,79.05000000000001,6.77, 21,0,0,1221,3,2,14,1.0,Sean Longstaff,1,1
1.1571428571428573,Newcastle United,81.25714285714285,6.660000000000001, 27,2,0,6304,6,51,56,0.4428571428571429,Christian Atsu,8,12
0.19999999999999998,Newcastle United,73.31666666666668,6.738333333333334, 28,1,1,10092,16,8,85,2.5166666666666666,Paul Dummett,0,1
1.9833333333333332,Newcastle United,73.18333333333334,6.781666666666666, 23,2,0,4032,12,7,38,1.8166666666666667,Joelinton,8,12
1.3285714285714287,Newcastle United,73.82857142857142,6.874285714285714, 22,7,1,8808,6,26,59,0.44285714285714295,Allan Saint-Maximin,13,15
0.15,Newcastle United,74.8,6.6866666666666665, 25,0,0,7440,9,15,52,1.1500000000000001,Javier Manquillo,6,1
0.0,Newcastle United,58.120000000000005,6.622, 30,1,0,6120,1,0,68,0.38,Martin Dubravka,0,0
